first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Opplysninger om selskapsgjeld,Andre forhold,Ingen registrerte opplysninger
Sveinung,Stensland,H,,Styremedlem i stiftelsen Haugesjøen (ikke godtgjørelse).,,,"Jeg er ansatt som, men har permisjon fra stilling som regionsjef i
Apotek1 Norge AS. Ettersom jeg ikke mottar lønn fra jeg ble
stortingsrepresentant er jeg utmeldt av permisjons- og
forsikringsordninger.","Om jeg trer ut av Stortinget, har jeg rett på ny stilling (med de
betingelser jeg hadde før permisjonstiden) i Apotek1 Norge AS.",,,"Jeg eier ingen verdipapirer utenom en fripolise, indeksfond og IPS","Jeg deltok som paneldeltaker på en konferanse i Stockhom i oktober
2019, denne ble arrangert av MSD og de betalte flyreise og en natt på
hotel
Jeg deltok på en studietur en uke i mars 2019 til Niger i regi av friends
og global fund, de dekket reise og opphold.",,,,
Aleksander,Stokkebø,H,,"Lønnet/godtgjort:
Folkevalgt i Stavanger kommune, kommunestyremedlem og leder av
kontrollutvalget",,,,,,,"Noe enkeltaksjer i Equinor, Aker BP, Grieg Seafood, SalMar, NEL,
Norsk Hydro, EAM Solar, Scatec Solar.",,,,,
Tore,Storehaug,KrF,,"Styremedlem i Den norske atlanterhavskomite (ulønna)
Styremedlem i Løvebakken mållag (ulønna)",,,,,,,Mowi ASA (under 1%),,,,,
Marit Knutsdatter,Strand,Sp,,"Medlem av Kommunestyret i Øystre Slidre Kommune 2015-2019
(godtgjørelse ved møter
)
Styreleder for Senterpartiets Studieforbund 2018-2020
(godtgjørelse ved møter)
Medlem av Styret i Voksenopplæringsforbundet 2019-
2021(godtgjørelse ved møter)
Styremedlem Vofo fra 29. mai 2019 (honorar pr. møte).",,"Timebasert Landbruksavløser, Valdres Avløsertjenester AS",,,,,,,,,,
Camilla,Strandskog,H,,"AU-medlem i Oslo Høyre. Ikke lønnet.
Styremedlem i stiftelsen Minervafondet. Ikke lønnet.",,"Myndighetskontakt i Telenor. I permisjon uten lønn i perioden jeg er
inne som vara.",,,,,,,,,,
Bengt Rune,Strifeldt,FrP,,"Styremedlem i borettslaget Alta Vest som jeg bor i.
Honoreres etter deltakelse i møter.
Innvalgt som medlem i Alta kommunestyre 2019-2021.
Ordinær møtegodtgjørelser etter kommunale satser.
Leder av kontrollutvalget for Alta kommune.
Honoreres etter kommunens satser.",,,,,,,,,,,,
Jonas Gahr,Støre,A,,"Leder i Arbeiderpartiet (firmabilordning)
Parlamentarisk leder i Arbeiderpartiets stortingsgruppe (lønn)
Styreleder i Femstø AS (ulønnet)
Styremedlem International Crisis Group (ulønnet)
Medlem i Ocean Unite Network (ulønnet)
Medlem av Samarbeidskomiteen LO-AP (ulønnet)
Leder SAMAK (ulønnet)
Medlem av EAT Advisory Board (ulønnet)","Inntekt fra bokutgivelse ""I bevegelse"", Cappelen Damm 2014",,,,,,"Femstø AS (76,23 pst. eierandel)
Aksje i Sauda Folkets Hus AS (1 aksje)","International Crisis Group (delvis dekning - hotellopphold, Paris 25.-
27. april 2019, Berlin 13.-15. april 2018, New York 20.-22. oktober
2017, Brussel 28. april-30. april 2017 og Brussel 8.-10. april 2016)","2 billetter fotballkamp 09.08.2015 fra NOR AS
Madshus - Skipar (Redline Carbon Classic Cold) 08.12.16",,,
Hanne Dyveke,Søttar,FrP,,,,,,,,,"Aker ASA 5 stk
Equinor ASA 10 stk",,,,,
Hadia,Tajik,A,,**Parlamentarisk nestleder i Arbeiderpartiet - mottar godtgjørelse,"**Enkeltmannsforetaket Tajik Media. Holder diverse foredrag/skriver
tekster.
**Honorar 2012 for tekster til digitalt læremiddelverk om politikk og
menneskerettigheter, Aschehoug forlag. Honoraret er utbetalt direkte
til organisasjonen Leger uten grenser.
**Honorar 2012 for oppdrag i forbindelse med programposten ""Jul i
P2"" på NRK P2, utbetalt direkte til menneskerettighetsorganisasjonen
Norsk PEN.
**Honorar 2012 for trykking av tale ifm åpningen av Språkåret i
boken ""Nye vegar til nynorsk"", Cappelen Damm. Utbetalt direkte til
Amnesty International.
**Fra juni 2015: Honorar for gjestekommentarer i Aftenposten. kr
6000,- per artikkel. Deler av honoraret er gitt til Care.
Avsluttet mars 2019
**19. november 2015: Honorar for tale ved SR-Bank sin Årsmiddag.
Honoraret er donert til Flyktninghjelpen.","** Kontrakt inngått 19. juni 2014 med tv-produksjonsselskapet
Monkberry om å utvikle og spille inn 3 episoder av nytt
programkonsept som skal sendes på NRK. Honorar overstiger 50.000
kr.
**Kontrakt med Tiden forlag om bokutgivelse oktober 2020.",,,,,,"27.okt - 31.okt, 2017 - Reise til NewYork, dekket av New York
Review Conference/ Fritt Ord, populismekonferanse
Fly tur/retur: 10775 NOK
Hotell: 26 687 NOK (3281 USD)
Taxi fra flyplass til hotell: 618 NOK (76,11 USD)","8. juni: Middag og landskamp i fotball (Ullevål stadion) - giver Bama
(anslått verdi kr. 1500-2000)
08.12.2019: 2 stk billetter, vip lounge på Ullevål stadion, cupfinale.
Giver Kongsberggruppen. Verdi kr. 2500,- eks.mva. x 2",,,
Michael,Tetzschner,H,,"Styreleder Stiftelsen Oslo Hospital (godtgjørelse)
Ekebergveien 1 AS (godtgjørelse)
Styremedlem Tiger næringsmegling (godtgjørelse)
Medlem av Kong Olav Vs fond, Danmark (ingen godtgjørelse)
Kontrollkomiteen Nordisk Investeringsbank (godtgjørelse)",Advokatfellesskapet Tetzschner & Co. Passiv advokatbevilling.,,,,,,Tetco Advokatfirma A/S,,,,,
Olemic,Thommessen,H,,"Styremedlem Gudbrandsdølen A/S (godtgjørelse)
Styremedlem Gudbrandsdølen Eiendom A/S (datterselskap av
Gudbrandsdølen A/S) (Ingen godtgjørelse)
Styremedlem Overlege Knut Bergs fond (godtgjørelse)
Styremedlem Bjørnson Prodan Foundation (ingen godtgjørelse)",Personlig selskap Helikon - Olemic Thommessen,,,,,,"Gudbrandsdølen AS
Orkla ASA
DNB ASA
Statoil ASA
Storebrand ASA
DNO ASA
Norsk Hydro ASA
SPB 1 BV
Sandnes Sparebank
Photocure ASA
Edelson AS
Alle: Eierandel mindre enn 1 %",,"Ett sett av Islendingesagaene fra forlegger Johann Sigurdsson i Saga
Forlag. Gitt i forbindelse med besøk på Island - juli 2014",,,
Geir Sigbjørn,Toskedal,KrF,,"Styremedlem Haugalandsmuseene AS, honorar pr møte
Styremedlem Storhall Karmøy AS, ulønnet
Styremedlem MUNOR AS, ulønnet
Medlem Representantskapet Rogaland Kunstsenter, ulønnet
Styremedlem Karmøy KrF lokallag","GST - Elevér  eget foretak/konsulentvirksomhet. Minimal om noen
aktivitet etter januar 2019.","Seniorkonsulent Oppvekst og kulturetat Karmøy kommune 10%
stilling. Fleksibel deltid etter avtale.","Seniorkonsulent Oppvekst og kulturetat Karmøy kommune 10%
stilling. Fleksibel deltid etter avtale. Jeg har dermed 90% permisjon i
perioden som stortingsrepresentant.","Med 10% stilling i Karmøy kommune har jeg 90% permisjon fra
100% stilling som seniorkonsulent i oppvekst og kulturetaten. Dette
startet 22.01.19 ved inntreden i Stortinget som 1. vara for Rogaland
KrF ved ny regjering.","Karmøy kommune, seniorkonsulent ca 70.000 pr år",,,"Deltok privat og for egen regning ved 75-årsjubileet for D-dagen i
Normandie 2019, første uke i juni.
Reise til Israel og Vestbredden 5 dager sept. 2019 sammen med 7
andre i regi av ""Israels venner på Stortinget"" for å fremme handel,
forskning og samarbeid. KrF Stortinget dekket mine kostnader.
Etter kommune-og fylkeskommunevalget i høst er jeg innvalgt i en
rekke nye styrer og råd gjennom Rogaland fylkesting. Jeg har fått
innvilget permisjon for ca 14 verv så lenge jeg er fast møtende
stortingsrepresentant for statsråd Olaug Bollestad, Rogaland KrF. Jeg
har 1 verv (sist nedenfor) dersom det blir behov.
Listen ser slik ut:
1.      Medlem Rogaland fylkesting - permisjon
2.      2.vararep. Fylkesutvalget - permisjon
3.      Medlem Opplæringsutvalget - permisjon
4.      Medlem Inntaksnemnd, Rogaland - permisjon
5.      1. vararep. Samferdselsutvalget i Rogaland - permisjon
6.      Medlem bomselskapet Haugalandspakken - permisjon
7.      1. vararep. KS-fylkesmøte - permisjon
8.      Vararep. IS Fjordvegen Rute 13 - permisjon
9.      Vararep. NDL, Norsk digital læringssenter - permisjon
10.     Vararep. Vestlandsrådet - permisjon
11.     Vararep. til Vannområdet Haugaland - permisjon
12.     Vararep. til Yrkesopplæringsnemnda i Rogaland - permisjon
13.     Vararep. til prosjekt Kystpilgrimsleia, Rogaland - permisjon
14.     Vararep. Haukelivegen - permisjon
Jeg vil utføre følgende 1 verv :
Medlem Representantskapet Rogaland Kunstsenter",,,,
Ove,Trellevik,H,,,,,"Har ulønnet permisjon fra BKK AS. Midlertidig utmeldt av
pensjonskasse så lenge permisjonen varer.",,,,,,,,,
Anette,Trettebergstuen,A,,"Sentralstyremedlem Europabevegelsen (ulønnet)
Rådsmedlem Likestillingssenteret Hedmark (ulønnet)
Styremedlem i magasinet Blikk (ulønnet)","Registrert enkeltmannsforetak DJ virksomhet
Honorar fra TVNorge for deltakelse i TV-programmet ""4 Stjerners
middag"" høsten 2012",,,,,,,"Reise med AOF til Manila, Filippinene november 2005 for å se på
samarbeid med fagorganisasjoner der
April 2009 - reise til Taiwan betalt av taiwanske myndigheter
Juni 2012 - møteprogram i Paris arrangert av det franske
utenriksdepartementet, som dekket hotellovernatting. Øvrig opphold
og reise ble dekket av Arbeiderpartiet.",,,,
Tone Wilhelmsen,Trøen,H,,,,,,,,,Aksje i Raumnes AS (Eierandel: mindre enn 1 %),,,,,
Trygve Slagsvold,Vedum,Sp,,Leder av Senterpartiet (godtgjørelse),"Gårdbruker. Enkeltpersonforetak tilknyttet drift av Bjørby gård,
Stange kommune.",,,,,Bjørby gård i Stange kommune (0417-239/1).,,"To dagsreiser til England for å møte representanter for det engelske
boligsamvirket og britiske politikere. Betalt av firmaet Hedalm
Anebyhus. (I stortingsperioden 2005-2009)",,,,
Lene,Vågslid,A,,"Nestleder Norsk Hardingfelesenter AS, lønnet
Medlem regional rovviltnemd, lønnet
Medlem offentleg utval for bustadpolitikk, lønnet
Medlem Telemark fylkesting, lønnet
Medlem hovedutvalg for kompetanse, lønnet
Medlem fylkesutvalg, lønnet",,,Søkt permisjon fra de tre sistnevnte verv under punkt 2.,,,,,,,,,
Lene,Westgaard-Halle,H,,"Fylkestingsrepresentant, Vestfold (godtgjørelse).",,,,,,,,,,,,
Erlend,Wiborg,FrP,,"Varamedlem Moss kommunestyre (godtgjøring pr møte)
Medlem, administrasjonsutvalget, Moss (godtgjøring pr møte)
Styremedlem, Moss havn KF (godtgjøring)
Medlem i Moss kommunale Pensjonskasse (mottar fast godtgjøring)
Styreleder, Ewib holding AS(eget holdingselskap, ingen godtgjøring)
Styreleder, Pling Eiendom AS(ingen godtgjøring)
Styremedlem og daglig leder, Unirei AS (ingen godtgjøring)",,,,,,"Gjennom mine selskaper eier jeg 33,33 % av Solgaard Skog 150, i
Moss kommune.","100% av aksjene i Ewib holding AS
33.33% av aksjene i Pling Eiendom AS
33,33 % av aksjene i Unirei AS",,,,,
Nicholas,Wilkinson,SV,,"Medlem i valgkomiteen i Follo Human-Etisk Forbund, ikke honorar.",,,,,,,,,,,,
