rep_number,first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Ingen registrerte opplysninger
151,Heidi,Greni,Sp,,"Kommunestyre- og formannskapsmedlem i Holtålen
kommune (godtgjørelse)
Vararepresentant til styret for Forolhogna nasjonalpark
(ikke godtgjørelse)",,,Permisjon uten lønn fra Coop Oppdal,,,,,,,
70,Oskar J.,Grimstad,FrP,,"Styreleder Beslag & Ventilasjon AS (ikke godtgjørelse)
Styremedlem Beslag & Ventilasjon Eiendom AS (ikke
godtgjørelse)
Varamedlem styret for Hareid Trafikkterminal (ikke
godtgjørelse)",,,,,,Beslag & Ventilasjon Eiendom AS i Ulstein kommune,"Beslag & Ventilasjon AS
Beslag & Ventilasjon Eiendom AS",,,
60,Ruth Mari,Grung,A,,"FiskeriForum Vest, styreleder, ikke lønnet
Carte Blanche, dansekompani - styremedlem, lønnet
Bergen Bompengeselskap AS- styremedlem, lønnet
Innovasjon Norge Hordaland-styremedlem ut
2013,lønnet
Avdelingsrådet for UNI Rokkansenteret, medlem, lønnet
Anleggsutvalget for Norsk Håndballforbund region Vest,
medlem, ikke lønnet
Representantskapet Kirkens Bymisjon Bergen, ikke lønnet
Programrådet for NRK Hordaland og Sogn og Fjordane vara, lønnet
Folkets Hus AS, lønnet",,,Permisjon fra NAV Hordaland,,,,,,,
8,Hans Fredrik,Grøvan,KrF,,"Styremedlem i NLA Høgskolen - lønnet.
Styremedlem i Fjellhaug Internasjonale Høgskole - ikke
lønnet.
Styremedlem i Fjellhaug Bibelskole - ikke lønnet.
Styremedlem i Beit Skandinavia - ikke lønnet.
Styremedlem i Norsk - Israelsk Handelskammer Agder ikke lønnet",,,,,,,,,,
134,Kent,Gudmundsen,H,,,Passiv medeier i Ferieguiden ANS,,,,,,,,,
44,Gunnar,Gundersen,H,,"Styreleder Losby Bruk ANS (godtgjørelse)
Styremedlem Tretorget AS (godtgjørelse)",Skogbruk,,,,,"Skogbruk i Åsnes kommune - gnr 18, bnr 1 m.fl.","G.A.G. Konsult AS
Åsnes Næringshage AS","Reise til Taiwan 2.1.-8.1.2011. Invitert av taiwanske
myndigheter som også betalte reisen.",,
84,Tore,Hagebakken,A,True,,,,,,,,,,,
51,Gjermund,Hagesæter,FrP,,,,,,,,,Krikal AS,"7.-10. september 2006 - foredragsholder på seminar for
FNH (Norges Fondsmeglerforbund) i Istanbul. Reise og
opphold betalt av FNH.",,
49,Øyvind,Halleraker,H,,"Styreleder i Bømlo Foto AS (ulønnet)
Visepresident i ASECAP, Brüssel (honorar)
Styreleder Sethaugen AS (ulønnet)
Styremedlem Kyststamveien Stavanger-Bergen AS
(ulønnet)
Varamedlem Paladio AS (ulønnet)
Varamedlem Halleraker AS (ulønnet)",,,,,,"Mekebakken Gaard, næringseiendom, landbruk, Bømlo
kommune
Sethaugen, næringseiendom/landbruk, Bømlo Kommune",Bømlo Foto AS,,,
146,Eva Kristin,Hansen,A,,Styremedlem Midtnorsk Jazzsenter (godtgjørelse),,,,,,,,,,
161,Svein Roald,Hansen,A,,Styremedlem Tredalen Eiendom AS (ulønnet),,,,,,,Tredalen Eiendom AS,,,
101,Rasmus,Hansson,MDG,True,,,,,,,,,,,
2,Svein,Harberg,H,,"Styreleder Stiftelsen Fjordane Utvandrersenter (ikke
godtgjørelse)
Styremedlem i ACTIS (møtegodtgjørelse)",,,,,,,,,,
55,Knut Arild,Hareide,KrF,,Leder av Kristelig Folkeparti (lønnet),,,"Permisjon fra stilling som direktør for lederutvikling i
Schibsted ASA",,,,,"1.- 4. november 2010 - reise til Israel og de palestinske
områdene. Betalt av Kirkens nødhjelp",iPad uten 3G mottatt 30.05.2011 fra Kristent ledernettverk i Stavanger v/Terje Rott.,
104,Stefan,Heggelund,H,True,,,,,,,,,,,
123,Ingrid,Heggø,A,,Styremedlem i Safeclean,,,,,,,,,,
145,Linda C. Hofstad,Helleland,H,,Styremedlem i Norsk Krisesenterforbund (møtegodtgjørelse),,,,,,,,"Deltok på reise til Taiwan 22.-29. februar 2004. Reise og
opphold betalt av taiwanske myndigheter.",,
29,Trond,Helleland,H,,"Styremedlem Stiftelsen Ål folkehøgskole og kurssenter
for døve (møtehonorar)",,,,,,,,,Sølvskål fra Høyre i anledning 50-årsdag 2012,
6,Kari,Henriksen,A,,"Styremedlem Stiftelsen Dr. Oscar Olsen fond til fremme
av rusforskning v/Sørlandet Sykehus HF (ikke godtgjørelse)",,,Har permisjon uten lønn fra Sørlandet Sykehus HF,,,,,,"Ryggsekk i skinn, mottatt fra Fagforbundet i forbindelse
med 1. mai arrangement.",
133,Martin,Henriksen,A,,Styremedlem Utøya AS (ulønnet),,,,,,,Polaris Media ASA.,,,
75,Odd,Henriksen,H,,Daglig leder i ANS Henriksengården - vervet er lønnet,,"ROBE Konsulent AS - lønnet
A/L Indre Salten Boligbyggelag juridisk ansvarlig - lønnet","Har permisjon i 4 år som regiondirektør i NHO Nordland
- ulønnet",,,,"10 Aksjer i Saltenposten
1 aksje i AS Fauske Lysverk",,,
50,Per Rune,Henriksen,A,,"Styremedlem Gasskonferansen i Bergen (ulønnet)
Styremedlem Children at Risk Foundation (ulønnet)",,,,,,,,,,
58,Sigurd,Hille,H,,"Avis Consult AS, styreleder, ikke lønnet
Johakri AS, styreleder, ikke lønnet",,,,,,,"BBS Bulk I KS - eierandel 1,2 %
BBS Bulk II KS - eierandel 6,62 %
BBS Containerfeeder AS - eierandel 2,79 %",,,
169,Line Henriette,Hjemdal,KrF,,Styremedlem Institutt for sjelesorg (ikke godtgjørelse),,,,,,,,,,
98,Heikki Eidsvoll,Holmås,SV,,,,,,,,"Olav Ryes vei 35, 5006 Bergen, delvis utleid",To aksjer i Klassekampen AS,"EUVP tur til Brussel 24.-29. oktober 2004 betalt av EUkommisjonen
Vårkonferanse Energi Norge, kost og losji betalt av
Energi Norge.",,
159,Tom E. B.,Holthe,FrP,,,Eier Bobil og Fritid (konsulentfirma),,,,,,,,,
12,Anniken,Huitfeldt,A,,,,,Permisjon fra stilling som forsker ved forskningsstiftelsen FAFO,,,,,,,
88,Stine Renate,Håheim,A,,,,,,,,,,"Foredrag på konferanse om ""Woman's Participation in
Political Parties - Obstacles, Challlenges and Opportunities for change"" i Beirut. Opphold dekket av International
Alert. Tidspunkt: 4.-6. juni 2010",,
22,Nils Aage,Jegstad,H,,Styremedlem i Kunnskapsbyen Lillestrøm - ulønnet,"42,5 % eieandel i Vestbykua Samdrift DA - passiv eier:
ingen godtgjørelse eller arbeidsinntekt.
Leier jorda på gården Rokker i Vestby som jeg igjen
leier videre til Vestbykua Samdrift DA som dekker leiekostnaden.",,,,,,Aksjer i Gjensidige Forsikring,,,
148,Frank J.,Jenssen,H,,"Jødisk museum Trondheim, styreleder - orgnr 997 172
299 - ulønnet/ingen honorar
Foreningen Korsvikaspillet, styremedlem/nestleder orgnr 992 401 109 - ulønnet/ingen honorar",,,Direktoratet for arbeidstilsynet - ulønnet permisjon 20132017 (stortingsperioden),,,,,,,
164,Irene,Johansen,A,,"Medlem Moss bystyre (møtegodtgjørelse)
Styreleder i Det Norske Blåseensemble (godtgjørelse)
Varamedlem til sentralstyret i Europabevegelsen (ingen
godtgjørelse)
Styremedlem i Hydrogenfabrikken Kunsthall (ingen
godtgjørelse)",,,Ulønnet permisjon fra stilling i Jernbaneverket,,,,,,,
86,Morten Ørsal,Johansen,FrP,True,,,,,,,,,,,
35,Kristin Ørmen,Johnsen,H,,"Styremedlem i Strømsgodset toppfotball. Vervet er ulønnet, får to sesongkort til hjemmekampene.",,,Permisjon fra Høgskolen i Buskerud. Ingen lønnsutbetalinger fra tidligere arbeidsgiver. Pensjon fra Statens Pensjonskasse.,"Avtale om gjeninntreden i Høgskolen i Buskerud og
Vestfold i lederstilling på nivå en eller to, ikke spesifisert
dette yteligere.",,,,,,
45,Tor André,Johnsen,FrP,,"Medlem av Hedmark fylkesting (godtgjørelse). Vara til
Hedmark Trafikk (møtegodtgjørelse).
Vara i Distriktsprogramrådet for NRK Hedmark og Oppland (møtegodtgjørelse).",,,,,,,,,,
81,Kjell-Idar,Juvik,A,,"Kommunstyrerepresentant Hemnes kommune, møtegodtgjørelse
Landsstyremedlem for Nordland i Utmarkskommunenes
sammenslutning (USS), møtegodtgjørelse
Styreremedlem Kommunekraft AS, møtegodtgjørelse
Sekretær i Hemnes Dykkeklubb, ulønnet
Komiteleder Hemnes Båt & Fjordfestival, ulønnet",,,,,,,,,,
112,Arve,Kambe,H,,,"Eier andel av tre boligprosjekter i Karmøy, Ålesund og
Sula. Alle boligprosjektene er regulert, men ikke utbygget ennå.",,"Permisjon fra stilling som markedsansvarlig i Trygge
Barnehager AS
Bonusavtale basert på byggestarter av vedtatte barnehager i fremtiden.",,,,,,,
100,Mudassar,Kapur,H,,"Medlem av rådet i SOS-Barnebyer Norge, ingen godtgjøring",,,Permisjon fra SOS-Barnebyer Norge,,,,,,,
102,Mazyar,Keshvari,FrP,,"Bystyrerepresentant i Oslo bystyre, mottar godgjørelse.",,,,,,,,,,
89,Ketil,Kjenseth,V,,"Kommunestyremedlem i Gjøvik (godtgjøring pr. møte)
Leder i Gjøvik Frivilligsentral (årlig honorar)
Leder av avviklingsstyret for Stiftelsen Øverby Helsesportsenter (ulønnet)
Styremedlem i Øvre Bråstad Velforening (ulønnet)",,,"Permisjon uten lønn eller andre godtgjørelse fra stilling i
Norsk Vann fram til 1. januar 2018.",,,,,,,
139,Ingvild,Kjerkol,A,True,,,,,,,,,,,
13,Kari Kjønaas,Kjos,FrP,,Medlem kommunestyret i Lørenskog (godtgjørelse),,Medlem av Stortingets Billighetserstatningsutvalg (godtgjørelse),,,,,,"Deltok på reise til Filippinene 3. - 11. nov. 2007. Reise
og opphold betalt av European Parliamentary Forum on
population and development (EPF).",,
72,Jenny,Klinge,Sp,,Leiar i forstandarskapet Surnadal Sparebank(godtgjering),,,,,,,,,,
